Tphl,Tplh,VOL,Trans,Cap
1.651e-08,1.106e-08,1.1,1.50,5.00
1.027e-08,6.887e-09,1.1,3.00,3.00
1.269e-08,8.646e-09,1.1,0.40,4.00
4.254e-09,2.888e-09,1.1,3.00,1.20
1.954e-09,1.302e-09,1.1,2.00,0.50
3.321e-10,2.270e-10,1.1,0.10,0.10
9.590e-09,6.891e-09,1.1,0.80,3.00
1.594e-09,1.128e-09,1.1,0.10,0.50
1.293e-08,8.900e-09,1.1,0.80,4.00
4.102e-09,2.822e-09,1.1,1.50,1.20
2.118e-09,1.462e-09,1.1,3.00,0.50
1.052e-08,6.346e-09,1.1,1.50,3.00
9.776e-09,6.563e-09,1.1,2.00,3.00
1.773e-09,1.085e-09,1.1,0.40,0.50
1.357e-08,9.209e-09,1.1,1.50,4.00
1.887e-09,1.257e-09,1.1,1.50,0.50
9.751e-09,6.924e-09,1.1,0.10,3.00
1.629e-08,1.076e-08,1.1,3.00,5.00
3.823e-10,2.697e-10,1.1,0.40,0.10
1.650e-08,1.046e-08,1.1,0.10,5.00
4.379e-09,2.690e-09,1.1,2.00,1.20
6.873e-10,4.315e-10,1.1,2.00,0.10
3.888e-09,2.610e-09,1.1,0.80,1.20
4.676e-10,3.036e-10,1.1,0.80,0.10
8.019e-10,3.964e-10,1.1,3.00,0.10
1.794e-09,1.156e-09,1.1,0.80,0.50
1.330e-08,8.438e-09,1.1,2.00,4.00
1.655e-08,1.059e-08,1.1,2.00,5.00
6.043e-10,4.071e-10,1.1,1.50,0.10
1.258e-08,8.745e-09,1.1,0.10,4.00
9.722e-09,6.893e-09,1.1,0.40,3.00
3.855e-09,2.738e-09,1.1,0.10,1.20
1.629e-08,1.042e-08,1.1,0.40,5.00
1.303e-08,8.972e-09,1.1,3.00,4.00
4.056e-09,2.536e-09,1.1,0.40,1.20
1.650e-08,1.065e-08,1.1,0.80,5.00
